mirnaid;targets;valtargets
hsa-mir-27a;3849;7
hsa-mir-4448;2125;0
hsa-mir-4272;2164;0
hsa-mir-384;1873;1
hsa-mir-4792;1573;0
hsa-mir-3681;4270;0
hsa-mir-6511b-2;0;0
hsa-mir-376c;1880;1
hsa-mir-3960;669;0
hsa-mir-155;3158;157
hsa-mir-520c;4695;2
hsa-mir-515-2;4384;1
hsa-mir-4679-2;2182;0
hsa-mir-10b;3784;5
hsa-mir-544a;3187;0
hsa-mir-4534;2728;0
hsa-mir-6511a-3;0;0
hsa-mir-3180-1;4600;0
hsa-mir-583;3351;0
hsa-mir-4328;3789;0
hsa-mir-4521;1657;0
hsa-mir-4737;467;0
hsa-mir-889;1808;0
hsa-mir-202;2624;0
hsa-mir-6859-2;0;0
hsa-mir-3171;1186;0
hsa-mir-526a-2;1563;0
hsa-mir-3924;2467;0
hsa-mir-429;2865;7
hsa-mir-5011;5140;0
hsa-mir-34c;4234;10
hsa-mir-516a-2;3104;1
hsa-mir-4447;3055;0
hsa-mir-18a;4378;15
hsa-mir-3936;1872;0
hsa-mir-3159;1691;0
hsa-mir-143;4377;9
hsa-mir-492;1698;0
hsa-mir-6127;0;0
hsa-mir-4710;2762;0
hsa-mir-4425;1743;0
hsa-mir-4307;4123;0
hsa-mir-551b;4180;0
hsa-let-7a-1;4571;36
hsa-mir-520f;2297;0
hsa-mir-371a;2824;0
hsa-mir-129-1;4415;5
hsa-mir-8071-2;0;0
hsa-mir-5194;1982;0
hsa-mir-8056;0;0
hsa-mir-200c;3443;11
hsa-mir-5692b;2939;0
hsa-mir-20a;5320;26
hsa-mir-4638;3279;0
hsa-mir-539;4510;0
hsa-mir-1972-2;3114;0
hsa-mir-5787;0;0
hsa-mir-1304;4683;0
hsa-mir-3142;2071;0
hsa-mir-5093;2999;0
hsa-mir-509-2;3897;1
hsa-mir-3939;176;0
hsa-mir-206;2269;5
hsa-mir-514b;3341;0
hsa-mir-519b;3694;2
hsa-mir-1302-1;2227;0
hsa-mir-6511a-4;0;0
hsa-mir-92a-2;5577;11
hsa-mir-125b-2;4376;52
hsa-mir-520d;6330;0
hsa-mir-568;2238;0
hsa-mir-4530;3676;0
hsa-mir-154;2398;1
hsa-mir-219a-1;0;0
hsa-mir-4267;3106;0
hsa-mir-4280;1194;0
hsa-mir-195;5921;9
hsa-mir-3135b;4071;0
hsa-mir-135b;3323;6
hsa-mir-518c;3205;0
hsa-mir-466;2939;0
hsa-mir-510;2561;2
hsa-mir-8068;0;0
hsa-mir-3118-5;1882;0
hsa-mir-183;3810;9
hsa-mir-4472-1;3052;0
hsa-mir-4738;3434;0
hsa-mir-197;2996;58
hsa-mir-7641-1;0;0
hsa-mir-1283-1;2910;0
hsa-mir-3669;228;0
hsa-mir-4788;174;0
hsa-mir-1197;2274;0
hsa-mir-498;2395;0
hsa-mir-487a;1270;0
hsa-mir-216b;2413;0
hsa-mir-513a-1;5846;1
hsa-mir-4482;0;0
hsa-mir-3199-1;2095;0
hsa-mir-200a;4171;18
hsa-mir-3927;1965;0
hsa-mir-4732;2807;0
hsa-mir-5707;347;0
hsa-mir-15a;5295;19
hsa-mir-548h-4;6003;0
hsa-mir-548aj-1;4546;0
hsa-mir-1275;3257;0
hsa-mir-770;1191;0
hsa-mir-4426;2611;0
hsa-mir-4536-2;1613;0
hsa-mir-3178;570;0
hsa-mir-4442;411;0
hsa-mir-3925;4244;0
hsa-mir-30c-2;5377;3
hsa-mir-203a;0;0
hsa-mir-2682;4189;0
hsa-mir-9-3;4406;16
hsa-mir-891b;1637;0
hsa-mir-4303;2234;0
hsa-mir-1185-2;3062;0
hsa-mir-193a;3290;4
hsa-mir-513c;5001;0
hsa-mir-3188;1979;0
hsa-mir-1302-9;2228;0
hsa-mir-1254-2;2706;0
hsa-mir-5696;3506;0
hsa-mir-6503;0;0
hsa-mir-5571;3791;0
hsa-mir-424;4697;24
hsa-mir-548ag-2;2321;0
hsa-mir-130b;4739;3
hsa-mir-4510;3607;0
hsa-mir-92a-1;3745;12
hsa-mir-124-1;4349;151
hsa-mir-507;1902;0
hsa-mir-4418;3271;0
hsa-mir-4456;2632;0
hsa-mir-516b-1;4890;0
hsa-mir-6770-3;0;0
hsa-mir-6859-3;0;0
hsa-mir-4663;2212;0
hsa-mir-1302-4;2227;0
hsa-mir-6817;0;0
hsa-mir-570;6149;0
hsa-mir-9-2;4405;16
hsa-mir-3648;510;0
hsa-mir-519c;3696;3
hsa-mir-19b-1;3920;13
hsa-mir-16-1;5669;117
hsa-mir-548ae-2;4546;0
hsa-mir-422a;2064;2
hsa-mir-4514;4384;0
hsa-mir-596;2058;0
hsa-mir-3937;1182;0
hsa-mir-5689;1539;0
hsa-mir-4704;3236;0
hsa-mir-3185;2820;0
hsa-let-7d;2278;5
hsa-mir-8088;0;0
hsa-mir-132;2628;3
hsa-mir-548y;3688;0
hsa-mir-655;3024;0
hsa-mir-3166;2474;0
hsa-mir-513a-2;5845;1
hsa-mir-485;5926;2
hsa-mir-3118-4;1882;0
hsa-mir-548m;2489;0
hsa-mir-99a;483;3
hsa-mir-1246;1845;0
hsa-mir-3180-4;1552;0
hsa-mir-1185-1;3062;0
hsa-mir-302e;3647;0
hsa-mir-663a;1815;2
hsa-mir-4464;1994;0
hsa-mir-4471;1659;0
hsa-mir-451b;2993;0
hsa-mir-759;2742;0
hsa-mir-1303;2151;0
hsa-mir-8054;0;0
hsa-mir-496;1228;0
hsa-mir-1269a;1718;0
hsa-mir-1281;1312;0
hsa-mir-3156-1;3788;0
hsa-mir-548ab;3688;0
hsa-mir-223;2859;8
hsa-mir-376a-2;1563;1
hsa-let-7c;2069;5
hsa-mir-4662a;2693;0
hsa-mir-3179-1;3038;0
hsa-let-7e;2194;4
hsa-mir-5007;3294;0
hsa-mir-514a-3;3310;0
hsa-mir-4527;1437;0
hsa-mir-4315-2;492;0
hsa-mir-4523;425;0
hsa-mir-548ad;970;0
hsa-mir-495;3731;0
hsa-mir-4682;2216;0
hsa-mir-4472-2;3051;0
hsa-mir-1283-2;2910;0
hsa-mir-345;3767;3
hsa-mir-181c;3751;7
hsa-mir-379;2310;0
hsa-mir-4453;1928;0
hsa-mir-4313;1915;0
hsa-mir-4276;2547;0
hsa-mir-4697;2830;0
hsa-mir-92b;2728;3
hsa-mir-4431;320;0
hsa-mir-3678;3204;0
hsa-mir-5681b;861;0
hsa-mir-4643;2742;0
hsa-mir-4323;3023;0
hsa-mir-298;3203;2
hsa-mir-1257;1791;0
hsa-mir-4736;2742;0
hsa-mir-3148;5223;0
hsa-mir-4703;2954;0
hsa-mir-320b-1;3400;0
hsa-mir-3622a;3115;0
hsa-mir-5708;334;0
hsa-mir-4532;1207;0
hsa-mir-329-2;2208;0
hsa-mir-4309;2062;0
hsa-mir-2052;2209;0
hsa-mir-4314;3012;0
hsa-mir-548a-3;6171;0
hsa-mir-548x;6011;0
hsa-mir-4477b;2305;0
hsa-mir-7975;0;0
hsa-mir-4275;1534;0
hsa-mir-3680-1;4070;0
hsa-mir-3118-3;1882;0
hsa-mir-516b-2;4892;0
hsa-mir-29b-1;4809;28
hsa-mir-4522;2137;0
hsa-mir-8078;0;0
hsa-mir-337;1689;0
hsa-mir-6840;0;0
hsa-mir-137;2349;7
hsa-mir-4509-1;1701;0
hsa-mir-3689d-2;3294;0
hsa-mir-4754;287;0
hsa-mir-517a;1843;0
hsa-mir-651;1494;0
hsa-mir-4720;3240;0
hsa-mir-409;2708;3
hsa-mir-606;1771;0
hsa-mir-924;1794;0
hsa-mir-19a;3925;16
hsa-mir-6131;0;0
hsa-mir-548aw;3703;0
hsa-mir-106a;4803;10
hsa-mir-5589;4070;0
hsa-mir-3168;1808;0
hsa-mir-8087;0;0
hsa-mir-369;2533;3
hsa-mir-4488;1182;0
hsa-mir-6511a-2;0;0
hsa-mir-370;3145;3
hsa-mir-3179-2;3038;0
hsa-mir-600;1846;0
hsa-mir-4752;1741;0
hsa-mir-4419b;4055;0
hsa-mir-374c;3700;0
hsa-mir-1255b-1;1907;0
hsa-mir-7159;0;0
hsa-mir-3671;3426;0
hsa-mir-4436a;2984;0
hsa-mir-3201;1102;0
hsa-mir-6128;0;0
hsa-mir-4330;2070;0
hsa-mir-4291;3032;0
hsa-mir-30b;6670;0
hsa-mir-99b;479;1
hsa-mir-18b;2468;1
hsa-mir-527;3042;0
hsa-mir-7-2;5580;17
hsa-mir-2392;2751;0
hsa-mir-6089-2;0;0
hsa-mir-29a;4926;32
hsa-mir-4430;4004;0
hsa-mir-450a-1;222;1
hsa-mir-4675;2218;0
hsa-mir-1273c;235;0
hsa-mir-3156-3;1898;0
hsa-mir-3668;1713;0
hsa-mir-7-3;2261;17
hsa-mir-6859-1;0;0
hsa-mir-8067;0;0
hsa-mir-4327;1532;0
hsa-mir-203b;0;0
hsa-mir-607;4258;0
hsa-mir-517c;1843;0
hsa-mir-6088;0;0
hsa-mir-5705;291;0
hsa-mir-663b;1883;0
hsa-mir-297;2085;0
hsa-mir-7112-1;0;0
hsa-mir-4454;213;0
hsa-mir-548al;416;0
hsa-mir-133b;1743;6
hsa-mir-4470;1792;0
hsa-mir-4535;1211;0
hsa-mir-4776-1;3138;0
hsa-mir-521-2;384;1
hsa-mir-378d-2;2063;0
hsa-mir-4460;1117;0
hsa-mir-3683;240;0
hsa-mir-892a;2332;0
hsa-mir-6500;0;0
hsa-mir-6078;0;0
hsa-mir-614;331;0
hsa-mir-7702;0;0
hsa-mir-572;395;1
hsa-mir-451a;327;8
hsa-mir-630;1564;3
hsa-mir-4277;2737;0
hsa-mir-4449;704;0
hsa-mir-4421;2638;0
hsa-mir-646;3467;0
hsa-mir-4433;4261;0
hsa-mir-587;2516;0
hsa-mir-8071-1;0;0
hsa-mir-1179;1888;0
hsa-mir-3689c;4752;0
hsa-mir-4693;3165;0
hsa-mir-4290;2366;0
hsa-mir-4268;2370;0
hsa-mir-520e;3646;0
hsa-mir-3667;4632;0
hsa-mir-147a;2313;2
hsa-mir-4678;1767;0
hsa-mir-8072;0;0
hsa-mir-5695;2613;0
hsa-mir-320d-1;3401;0
hsa-mir-4520b;2297;0
hsa-mir-4493;2080;0
hsa-mir-196a-1;1305;12
hsa-mir-4496;3297;0
hsa-mir-4666a;4658;0
hsa-mir-548ag-1;2321;0
hsa-mir-4508;1059;0
hsa-mir-4475;1831;0
hsa-mir-6723;0;0
hsa-mir-3928;1834;0
hsa-mir-375;491;5
hsa-mir-4734;913;0
hsa-mir-5692c-1;2937;0
hsa-mir-4318;2350;0
hsa-mir-3660;2332;0
hsa-mir-6087;0;0
hsa-mir-891a;269;0
hsa-mir-550a-3;3177;0
hsa-mir-4679-1;2182;0
hsa-mir-573;2149;0
hsa-mir-4491;2028;0
hsa-mir-3916;4017;0
hsa-mir-4422;3395;0
hsa-mir-3689a;5553;0
hsa-mir-6085;0;0
hsa-mir-4487;3102;0
hsa-mir-296;3462;2
hsa-mir-1587;3107;0
hsa-mir-4763;5743;0
hsa-mir-548i-1;3687;0
hsa-let-7b;4637;146
hsa-mir-4417;1950;0
hsa-mir-1302-11;2225;0
hsa-mir-7162;0;0
hsa-mir-4776-2;3139;0
hsa-mir-5694;1775;0
hsa-mir-6077-1;0;0
hsa-mir-3929;4055;0
hsa-mir-545;5357;1
hsa-mir-301b;2429;1
hsa-mir-645;1392;0
hsa-mir-548g;4843;0
hsa-mir-650;3612;1
hsa-mir-892c;0;0
hsa-mir-3673;2608;0
hsa-mir-3193;553;0
hsa-let-7f-1;4560;3
hsa-mir-1263;952;0
hsa-mir-4698;4240;0
hsa-mir-6129;0;0
hsa-mir-4771-1;1549;0
hsa-mir-512-2;4706;1
hsa-mir-4462;719;0
hsa-mir-524;4293;0
hsa-mir-4478;4056;0
hsa-mir-8079;0;0
hsa-mir-4537;940;0
hsa-mir-190b;1178;0
hsa-mir-6072;0;0
hsa-mir-8052;0;0
hsa-mir-1302-10;2228;0
hsa-mir-3197;638;0
hsa-mir-4519;2608;0
hsa-mir-8065;0;0
hsa-mir-548ai;2319;0
hsa-mir-5087;1613;0
hsa-mir-1302-2;2227;0
hsa-mir-5186;1365;0
hsa-mir-4444-2;285;0
hsa-mir-557;1904;0
hsa-mir-602;812;0
hsa-mir-3670-1;2113;0
hsa-mir-6076;0;0
hsa-mir-1244-2;1563;0
hsa-mir-4299;2245;0
hsa-mir-4645;4629;0
hsa-mir-421;2374;3
hsa-mir-5701-2;1273;0
hsa-mir-4494;2270;0
hsa-mir-378g;3733;0
hsa-mir-758;1390;0
hsa-mir-3976;1900;0
hsa-mir-518f;1816;0
hsa-mir-4712;2909;0
hsa-mir-3199-2;2097;0
hsa-mir-3149;1478;0
hsa-mir-525;3361;0
hsa-mir-4725;4897;0
hsa-mir-300;2486;0
hsa-mir-371b;5213;0
hsa-mir-5197;5421;0
hsa-mir-3910-2;2877;0
hsa-mir-548i-4;3687;0
hsa-mir-4500;1983;0
hsa-mir-3179-3;3038;0
hsa-mir-6080;0;0
hsa-mir-2117;2266;0
hsa-mir-1208;2329;0
hsa-mir-3529;3412;0
hsa-mir-3118-6;1882;0
hsa-mir-3689d-1;3294;0
hsa-mir-150;4863;5
hsa-mir-7153;0;0
hsa-mir-320d-2;3401;0
hsa-mir-4325;1974;0
hsa-mir-5701-1;1272;0
hsa-mir-4458;1983;0
hsa-mir-4283-2;2328;0
hsa-mir-5089;3106;0
hsa-mir-1204;831;0
hsa-mir-378d-1;2062;0
hsa-mir-3689e;1253;0
hsa-mir-1253;3161;0
hsa-mir-3910-1;2876;0
hsa-mir-1827;4961;0
hsa-mir-548a-2;4117;0
hsa-mir-3622b;4189;0
hsa-mir-4435-1;3640;0
hsa-mir-588;2482;0
hsa-mir-802;2335;1
hsa-mir-3679;3293;0
hsa-mir-4437;2450;0
hsa-mir-5684;1280;0
hsa-mir-6068;0;0
hsa-mir-1270-1;2160;0
hsa-mir-378i;2063;0
hsa-mir-1270-2;2158;0
hsa-mir-8062;0;0
hsa-mir-665;4234;0
hsa-mir-888;4187;0
hsa-mir-548h-5;3689;0
hsa-mir-633;1686;0
hsa-mir-4256;1641;0
hsa-mir-8070;0;0
hsa-mir-1206;1605;0
hsa-mir-217;2279;7
hsa-mir-6512;0;0
hsa-mir-5195;3110;0
hsa-mir-518b;393;0
hsa-mir-563;722;0
hsa-mir-4509-2;1700;0
hsa-mir-2054;2121;0
hsa-mir-4302;2708;0
hsa-mir-4443;2766;0
hsa-mir-5681a;2902;0
hsa-mir-8086;0;0
hsa-mir-550b-2;3043;0
hsa-mir-4509-3;1699;0
hsa-mir-4468;2673;0
hsa-mir-526a-1;1563;0
hsa-mir-7515;0;0
hsa-mir-1323;3391;0
hsa-mir-4469;3273;0
hsa-mir-6090;0;0
hsa-mir-939;2186;0
hsa-mir-617;1576;1
hsa-mir-5096;2839;0
hsa-mir-3652;4005;0
hsa-mir-4684;3580;0
hsa-mir-3162;2659;0
hsa-mir-4718;1037;0
hsa-mir-6739;0;0
hsa-mir-6865;0;0
hsa-mir-6832;0;0
hsa-mir-1262;2481;0
hsa-mir-320b-2;3400;0
hsa-mir-3920;1628;0
hsa-mir-6871;0;0
hsa-mir-2278;3387;0
hsa-mir-3664;5015;0
hsa-mir-378h;2063;0
hsa-mir-4744;2200;0
hsa-mir-7703;0;0
hsa-mir-1469;164;0
hsa-mir-6079;0;0
hsa-mir-580;2570;0
hsa-mir-6765;0;0
hsa-mir-3620;2518;0
hsa-mir-576;4305;0
hsa-mir-6823;0;0
hsa-mir-6834;0;0
hsa-mir-6750;0;0
hsa-mir-664a;0;0
hsa-mir-5579;2075;0
hsa-mir-4506;1517;0
hsa-mir-6499;0;0
hsa-mir-6841;0;0
hsa-mir-550a-1;3216;0
hsa-mir-4316;1875;0
hsa-mir-4273;2438;0
hsa-mir-6862-2;0;0
hsa-mir-4642;2006;0
hsa-mir-5000;4601;0
hsa-mir-301a;3969;3
hsa-mir-6716;0;0
hsa-mir-6853;0;0
hsa-mir-3615;720;0
hsa-mir-4646;4614;0
hsa-mir-3914-2;1774;0
hsa-mir-5585;2405;0
hsa-mir-6069;0;0
hsa-mir-4743;597;0
hsa-mir-1343;4198;0
hsa-mir-4804;1490;0
hsa-mir-639;500;1
hsa-mir-6780b;0;0
hsa-mir-133a-2;1734;11
hsa-mir-6751;0;0
hsa-mir-4639;3226;0
hsa-mir-3119-1;2738;0
hsa-mir-1237;2914;0
hsa-mir-4774;2423;0
hsa-mir-4322;1972;0
hsa-mir-3610;250;0
hsa-mir-933;348;0
hsa-mir-6071;0;0
hsa-mir-2110;3447;0
hsa-mir-3116-2;2710;0
hsa-mir-6873;0;0
hsa-mir-1227;1965;0
hsa-mir-3922;4808;0
hsa-mir-1267;1656;0
hsa-mir-3917;357;0
hsa-mir-3123;2889;0
hsa-mir-1182;2205;0
hsa-mir-7111;0;0
hsa-mir-135a-1;3402;2
hsa-mir-6782;0;0
hsa-mir-5590;3851;0
hsa-mir-597;1329;0
hsa-mir-1238;688;0
hsa-mir-4789;4300;0
hsa-mir-1286;2050;0
hsa-mir-24-1;3683;22
hsa-mir-5588;4284;0
hsa-mir-488;3786;2
hsa-mir-877;4120;0
hsa-mir-1226;4069;1
hsa-mir-224;4392;13
hsa-mir-6721;0;0
hsa-mir-548h-1;3688;0
hsa-mir-3126;3016;0
hsa-mir-4687;3500;0
hsa-mir-6718;0;0
hsa-mir-4667;5723;0
hsa-mir-3617;2855;0
hsa-mir-6795;0;0
hsa-mir-4777;2543;0
hsa-mir-4499;2213;0
hsa-mir-7843;0;0
hsa-mir-1272;2074;0
hsa-mir-4640;4161;0
hsa-mir-582;3759;1
hsa-mir-6749;0;0
hsa-mir-7853;0;0
hsa-mir-6775;0;0
hsa-mir-7706;0;0
hsa-mir-1244-3;1564;0
hsa-mir-191;1103;3
hsa-mir-561;5467;0
hsa-mir-32;3924;3
hsa-mir-6821;0;0
hsa-mir-2276;2330;0
hsa-mir-1288;1425;0
hsa-mir-7978;0;0
hsa-mir-548k;2300;0
hsa-mir-3119-2;2738;0
hsa-mir-4270;3959;0
hsa-mir-676;2764;0
hsa-mir-432;3815;0
hsa-mir-744;3094;0
hsa-mir-3655;288;0
hsa-mir-3915;3178;0
hsa-mir-4745;3194;0
hsa-mir-3187;5246;0
hsa-mir-4784;3120;0
hsa-mir-4298;2227;0
hsa-mir-605;2296;1
hsa-mir-7151;0;0
hsa-mir-26a-2;3566;25
hsa-mir-6877;0;0
hsa-mir-6855;0;0
hsa-mir-4740;2164;0
hsa-mir-7114;0;0
hsa-mir-4288;2118;0
hsa-mir-140;4310;5
hsa-mir-4635;2157;0
hsa-mir-4497;576;0
